id,headword,normalized_headword,pronunciation,pos,pos_tag,morph,etymology,gloss_en,gloss_ru,definition,senses,examples,source,page,confidence,notes,pronunciation_ipa,pronunciation_deva,pron_confidence,pron_note,pron_token_sample
2075,Jhulkdá,Jhulkda,,P.P.,p.p.,,,"Shaking, quaking, trembling",,"Shaking, quaking, trembling",,"f. -í, pl. -é",mainDictionary_repaired.csv,64,original,,Jhulkdá,Jhulkdá,low,unmapped_chars_sample='Jhulkd' count=7,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'h', 'pos': 1}, {'matched': None, 'char': 'u', 'pos': 2}, {'matched': None, 'char': 'l', 'pos': 3}, {'matched': None, 'char': 'k', 'pos': 4}, {'matched': None, 'char': 'd', 'pos': 5}]"
2076,Jhulkṇu,Jhulknu,,V.I.,v.i. re.,,,"To shake, quake, tremble",,"To shake, quake, tremble",,"f. -í, pl. -é",mainDictionary_repaired.csv,64,original,,Jhulkṇu,Jhulkṇu,low,unmapped_chars_sample='Jhulkṇ' count=7,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'h', 'pos': 1}, {'matched': None, 'char': 'u', 'pos': 2}, {'matched': None, 'char': 'l', 'pos': 3}, {'matched': None, 'char': 'k', 'pos': 4}, {'matched': None, 'char': 'ṇ', 'pos': 5}]"
2077,Jhulkú-huňḍu,Jhulku-hundu,,P.P.,p.p.,,,Shaken,,Shaken,,"f. -í, pl. -é",mainDictionary_repaired.csv,64,original,,Jhulkú-huňḍu,Jhulkú-huňḍu,low,unmapped_chars_sample='Jhulkú' count=12,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'h', 'pos': 1}, {'matched': None, 'char': 'u', 'pos': 2}, {'matched': None, 'char': 'l', 'pos': 3}, {'matched': None, 'char': 'k', 'pos': 4}, {'matched': None, 'char': 'ú', 'pos': 5}]"
2078,Jhúlṇu,Jhulnu,,V.I.,v.i. re.,,,To swing round,,To swing round,,,mainDictionary_repaired.csv,64,original,,Jhúlṇu,Jhúlṇu,low,unmapped_chars_sample='Jhúlṇu' count=6,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'h', 'pos': 1}, {'matched': None, 'char': 'ú', 'pos': 2}, {'matched': None, 'char': 'l', 'pos': 3}, {'matched': None, 'char': 'ṇ', 'pos': 4}, {'matched': None, 'char': 'u', 'pos': 5}]"
2079,Jhúm,Jhum,,N.F.,n.f.,,,"A covering, made of a blanket, used to protect from rain",,"A covering, made of a blanket, used to protect from rain",,,mainDictionary_repaired.csv,64,original,,Jhúm,Jhúm,low,unmapped_chars_sample='Jhúm' count=4,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'h', 'pos': 1}, {'matched': None, 'char': 'ú', 'pos': 2}, {'matched': None, 'char': 'm', 'pos': 3}]"
2080,Jhúmi-rauṇí,Jhumi-rauni,,V.I.,v.i. ir.,,,To hang,,To hang,,,mainDictionary_repaired.csv,64,original,,Jhúmi-rauṇí,Jhúmi-rअuṇí,low,unmapped_chars_sample='Jhúmi-' count=10,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'h', 'pos': 1}, {'matched': None, 'char': 'ú', 'pos': 2}, {'matched': None, 'char': 'm', 'pos': 3}, {'matched': None, 'char': 'i', 'pos': 4}, {'matched': None, 'char': '-', 'pos': 5}]"
2081,Jhumkú,Jhumku,,NOUN,n.m. pl.,,,A kind of earrings,,A kind of earrings,,"-láṇe, v.t. re. To wear earrings; -ghaṛṇe, v.i. re. To make earrings (of gold or silver)",mainDictionary_repaired.csv,64,original,,Jhumkú,Jhumkú,low,unmapped_chars_sample='Jhumkú' count=6,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'h', 'pos': 1}, {'matched': None, 'char': 'u', 'pos': 2}, {'matched': None, 'char': 'm', 'pos': 3}, {'matched': None, 'char': 'k', 'pos': 4}, {'matched': None, 'char': 'ú', 'pos': 5}]"
2082,Jhumṇu,Jhumnu,,V.I.,v.i. re.,,,"(1) To hang down; (2) To doze, to slumber",,"(1) To hang down; (2) To doze, to slumber",,,mainDictionary_repaired.csv,64,original,,Jhumṇu,Jhumṇu,low,unmapped_chars_sample='Jhumṇu' count=6,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'h', 'pos': 1}, {'matched': None, 'char': 'u', 'pos': 2}, {'matched': None, 'char': 'm', 'pos': 3}, {'matched': None, 'char': 'ṇ', 'pos': 4}, {'matched': None, 'char': 'u', 'pos': 5}]"
2083,Jhuṭṭh,Jhutth,,NOUN,n.m.,,H. jhúṭh,"Untruth, fabrication, lie",,"Untruth, fabrication, lie",,,mainDictionary_repaired.csv,64,original,,Jhuṭṭh,Jhuṭṭh,low,unmapped_chars_sample='Jhuṭṭh' count=6,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'h', 'pos': 1}, {'matched': None, 'char': 'u', 'pos': 2}, {'matched': None, 'char': 'ṭ', 'pos': 3}, {'matched': None, 'char': 'ṭ', 'pos': 4}, {'matched': None, 'char': 'h', 'pos': 5}]"
2084,Jhumr,Jhumr,,NOUN,n.m.,,H. jhūmar,An ornament worn on the head,,An ornament worn on the head,,,mainDictionary_repaired.csv,65,original,,Jhumr,Jhumr,low,unmapped_chars_sample='Jhumr' count=5,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'h', 'pos': 1}, {'matched': None, 'char': 'u', 'pos': 2}, {'matched': None, 'char': 'm', 'pos': 3}, {'matched': None, 'char': 'r', 'pos': 4}]"
2085,Jhuňfṛí,Jhunfri,,N.F.,n.f.,,H. jhoṅpṛī,A cottage,,A cottage,,,mainDictionary_repaired.csv,65,original,,Jhuňfṛí,Jhuňfṛí,low,unmapped_chars_sample='Jhuňfṛ' count=7,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'h', 'pos': 1}, {'matched': None, 'char': 'u', 'pos': 2}, {'matched': None, 'char': 'ň', 'pos': 3}, {'matched': None, 'char': 'f', 'pos': 4}, {'matched': None, 'char': 'ṛ', 'pos': 5}]"
2086,Jhuňgá,Jhunga,,NOUN,n.m.,,,(1) Property; (2) Estate,,(1) Property; (2) Estate,,,mainDictionary_repaired.csv,65,original,,Jhuňgá,Jhuňgá,low,unmapped_chars_sample='Jhuňgá' count=6,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'h', 'pos': 1}, {'matched': None, 'char': 'u', 'pos': 2}, {'matched': None, 'char': 'ň', 'pos': 3}, {'matched': None, 'char': 'g', 'pos': 4}, {'matched': None, 'char': 'á', 'pos': 5}]"
2087,Jhuňjṛí,Jhunjri,,N.F.,n.f.,,,A kind of wild plant,,A kind of wild plant,,,mainDictionary_repaired.csv,65,original,,Jhuňjṛí,Jhuňjṛí,low,unmapped_chars_sample='Jhuňjṛ' count=7,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'h', 'pos': 1}, {'matched': None, 'char': 'u', 'pos': 2}, {'matched': None, 'char': 'ň', 'pos': 3}, {'matched': None, 'char': 'j', 'pos': 4}, {'matched': None, 'char': 'ṛ', 'pos': 5}]"
2088,Jhuṭáwṇu,Jhutawnu,,V.T.,v.t. re.,,,To cause or allow to drink,,To cause or allow to drink,,,mainDictionary_repaired.csv,65,original,,Jhuṭáwṇu,Jhuṭáwṇu,low,unmapped_chars_sample='Jhuṭáw' count=8,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'h', 'pos': 1}, {'matched': None, 'char': 'u', 'pos': 2}, {'matched': None, 'char': 'ṭ', 'pos': 3}, {'matched': None, 'char': 'á', 'pos': 4}, {'matched': None, 'char': 'w', 'pos': 5}]"
2089,Jhuṭṇu,Jhutnu,,V.T.,v.t. re.,,,"To drink, to quench",,"To drink, to quench",,"f. -í, pl. -é",mainDictionary_repaired.csv,65,original,,Jhuṭṇu,Jhuṭṇu,low,unmapped_chars_sample='Jhuṭṇu' count=6,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'h', 'pos': 1}, {'matched': None, 'char': 'u', 'pos': 2}, {'matched': None, 'char': 'ṭ', 'pos': 3}, {'matched': None, 'char': 'ṇ', 'pos': 4}, {'matched': None, 'char': 'u', 'pos': 5}]"
2090,Jhúṭh,Jhuth,,NOUN,n.m.,,H. jhūṭh,"Untruth, fabrication, lie",,"Untruth, fabrication, lie",,,mainDictionary_repaired.csv,65,original,,Jhúṭh,Jhúṭh,low,unmapped_chars_sample='Jhúṭh' count=5,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'h', 'pos': 1}, {'matched': None, 'char': 'ú', 'pos': 2}, {'matched': None, 'char': 'ṭ', 'pos': 3}, {'matched': None, 'char': 'h', 'pos': 4}]"
2091,Jhwár,Jhwar,,NOUN,n.m.,,,(1) A present; (2) Salutation,,(1) A present; (2) Salutation,,,mainDictionary_repaired.csv,65,original,,Jhwár,Jhwár,low,unmapped_chars_sample='Jhwár' count=5,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'h', 'pos': 1}, {'matched': None, 'char': 'w', 'pos': 2}, {'matched': None, 'char': 'á', 'pos': 3}, {'matched': None, 'char': 'r', 'pos': 4}]"
2092,Jhwárṇu,Jhwarnu,,V.T.,v.t. re.,,,See Juhárṇu,,See Juhárṇu,,,mainDictionary_repaired.csv,65,original,,Jhwárṇu,Jhwárṇu,low,unmapped_chars_sample='Jhwárṇ' count=7,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'h', 'pos': 1}, {'matched': None, 'char': 'w', 'pos': 2}, {'matched': None, 'char': 'á', 'pos': 3}, {'matched': None, 'char': 'r', 'pos': 4}, {'matched': None, 'char': 'ṇ', 'pos': 5}]"
2093,Jía-de-rákhṇu,Jia-de-rakhnu,,V.T.,v.t. re.,,,"To keep in mind, to love",,"To keep in mind, to love",,,mainDictionary_repaired.csv,65,original,,Jía-de-rákhṇu,Jíअ-dए-rákhṇu,low,unmapped_chars_sample='Jí-d-r' count=11,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'í', 'pos': 1}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 2, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': '-', 'pos': 3}, {'matched': None, 'char': 'd', 'pos': 4}, {'matched': 'e', 'ipa': 'e', 'deva': 'ए', 'pos': 5, 'len': 1, 'note': 'Mid-front vowel'}]"
2094,Jía-rá-aňtó,Jia-ra-anto,,ADJ.,adj.,,,That which is in the mind,,That which is in the mind,,,mainDictionary_repaired.csv,65,original,,Jía-rá-aňtoː,Jíअ-rá-अňtओ (lengthened),low,unmapped_chars_sample='Jí-rá-' count=8,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'í', 'pos': 1}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 2, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': '-', 'pos': 3}, {'matched': None, 'char': 'r', 'pos': 4}, {'matched': None, 'char': 'á', 'pos': 5}]"
2095,Jía-rá or -u,Jia-ra or -u,,ADJ.,adj.,,,Of the mind,,Of the mind,,"m.; f. -í, pl. -é",mainDictionary_repaired.csv,65,original,,Jía-rá or -u,Jíअ-rá ओr -u,low,unmapped_chars_sample='Jí-rá ' count=10,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'í', 'pos': 1}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 2, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': '-', 'pos': 3}, {'matched': None, 'char': 'r', 'pos': 4}, {'matched': None, 'char': 'á', 'pos': 5}]"
2096,Jíbh,Jibh,,N.F.,n.f.,,S. Jihvā,The tongue,,The tongue,,"- japṇu, v.t. re. To speak. (Also Jíbṭí)",mainDictionary_repaired.csv,65,original,,Jíbh,Jíbh,low,unmapped_chars_sample='Jíbh' count=4,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'í', 'pos': 1}, {'matched': None, 'char': 'b', 'pos': 2}, {'matched': None, 'char': 'h', 'pos': 3}]"
2097,Jid,Jid,,N.F.,n.f.,,P. zidd,"Opposition, persistence",,"Opposition, persistence",,"-karṇí, v.t. re. To persist",mainDictionary_repaired.csv,65,original,,Jid,Jid,low,unmapped_chars_sample='Jid' count=3,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'i', 'pos': 1}, {'matched': None, 'char': 'd', 'pos': 2}]"
2098,Jidwá-huňḍá,Jidwa-hunda,,P.P.,p.p.,,,Persisted,,Persisted,,"f. -í, pl. -é",mainDictionary_repaired.csv,65,original,,Jidwá-huňḍá,Jidwá-huňḍá,low,unmapped_chars_sample='Jidwá-' count=11,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'i', 'pos': 1}, {'matched': None, 'char': 'd', 'pos': 2}, {'matched': None, 'char': 'w', 'pos': 3}, {'matched': None, 'char': 'á', 'pos': 4}, {'matched': None, 'char': '-', 'pos': 5}]"
2099,Jidwáṇu,Jidwanu,,V.I.,v.i. re.,,,"To persist, to oppose",,"To persist, to oppose",,,mainDictionary_repaired.csv,65,original,,Jidwáṇu,Jidwáṇu,low,unmapped_chars_sample='Jidwáṇ' count=7,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'i', 'pos': 1}, {'matched': None, 'char': 'd', 'pos': 2}, {'matched': None, 'char': 'w', 'pos': 3}, {'matched': None, 'char': 'á', 'pos': 4}, {'matched': None, 'char': 'ṇ', 'pos': 5}]"
2100,Jikṇu,Jiknu,,V.T.,v.t. re.,,,To press down,,To press down,,"f. -í, pl. -é",mainDictionary_repaired.csv,65,original,,Jikṇu,Jikṇu,low,unmapped_chars_sample='Jikṇu' count=5,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'i', 'pos': 1}, {'matched': None, 'char': 'k', 'pos': 2}, {'matched': None, 'char': 'ṇ', 'pos': 3}, {'matched': None, 'char': 'u', 'pos': 4}]"
2101,Jiku-huňḍu,Jiku-hundu,,P.P.,p.p.,,,Pressed down,,Pressed down,,"f. -í, pl. -é",mainDictionary_repaired.csv,65,original,,Jiku-huňḍu,Jiku-huňḍu,low,unmapped_chars_sample='Jiku-h' count=10,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'i', 'pos': 1}, {'matched': None, 'char': 'k', 'pos': 2}, {'matched': None, 'char': 'u', 'pos': 3}, {'matched': None, 'char': '-', 'pos': 4}, {'matched': None, 'char': 'h', 'pos': 5}]"
2102,Jimá-huňḍá,Jima-hunda,,P.P.,p.p.,,,Eaten,,Eaten,,"f. -í, pl. -é",mainDictionary_repaired.csv,65,original,,Jimá-huňḍá,Jimá-huňḍá,low,unmapped_chars_sample='Jimá-h' count=10,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'i', 'pos': 1}, {'matched': None, 'char': 'm', 'pos': 2}, {'matched': None, 'char': 'á', 'pos': 3}, {'matched': None, 'char': '-', 'pos': 4}, {'matched': None, 'char': 'h', 'pos': 5}]"
2103,Jimáwdá,Jimawda,,P.P.,p.p.,,,Feeding,,Feeding,,"f. -í, pl. -é",mainDictionary_repaired.csv,65,original,,Jimáwdá,Jimáwdá,low,unmapped_chars_sample='Jimáwd' count=7,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'i', 'pos': 1}, {'matched': None, 'char': 'm', 'pos': 2}, {'matched': None, 'char': 'á', 'pos': 3}, {'matched': None, 'char': 'w', 'pos': 4}, {'matched': None, 'char': 'd', 'pos': 5}]"
2104,Jimáwṇu,Jimawnu,,V.T.,v.t. re.,,,To feed,,To feed,,"f. -í, pl. -é",mainDictionary_repaired.csv,65,original,,Jimáwṇu,Jimáwṇu,low,unmapped_chars_sample='Jimáwṇ' count=7,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'i', 'pos': 1}, {'matched': None, 'char': 'm', 'pos': 2}, {'matched': None, 'char': 'á', 'pos': 3}, {'matched': None, 'char': 'w', 'pos': 4}, {'matched': None, 'char': 'ṇ', 'pos': 5}]"
2105,Jimáwu-huňḍu,Jimawu-hundu,,P.P.,p.p.,,,Fed,,Fed,,"f. -í, pl. -é",mainDictionary_repaired.csv,65,original,,Jimáwu-huňḍu,Jimáwu-huňḍu,low,unmapped_chars_sample='Jimáwu' count=12,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'i', 'pos': 1}, {'matched': None, 'char': 'm', 'pos': 2}, {'matched': None, 'char': 'á', 'pos': 3}, {'matched': None, 'char': 'w', 'pos': 4}, {'matched': None, 'char': 'u', 'pos': 5}]"
2106,Jimdá,Jimda,,P.P.,p.p.,,,"Eating, taking food",,"Eating, taking food",,"f. -í, pl. -é",mainDictionary_repaired.csv,65,original,,Jimdá,Jimdá,low,unmapped_chars_sample='Jimdá' count=5,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'i', 'pos': 1}, {'matched': None, 'char': 'm', 'pos': 2}, {'matched': None, 'char': 'd', 'pos': 3}, {'matched': None, 'char': 'á', 'pos': 4}]"
2107,Jímí,Jimi,,N.F.,n.f.,,P. zamīn,Land,,Land,,"-jágá, n.f. Landed property, estate",mainDictionary_repaired.csv,65,original,,Jímí,Jímí,low,unmapped_chars_sample='Jímí' count=4,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'í', 'pos': 1}, {'matched': None, 'char': 'm', 'pos': 2}, {'matched': None, 'char': 'í', 'pos': 3}]"
2108,Jimṇu,Jimnu,,V.T.,v.t. re.,,,To take food (H. jīmnā),,To take food (H. jīmnā),,,mainDictionary_repaired.csv,65,original,,Jimṇu,Jimṇu,low,unmapped_chars_sample='Jimṇu' count=5,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'i', 'pos': 1}, {'matched': None, 'char': 'm', 'pos': 2}, {'matched': None, 'char': 'ṇ', 'pos': 3}, {'matched': None, 'char': 'u', 'pos': 4}]"
2109,Jimpar,Jimpar,,NOUN,n.m.,,S. Yamapura,"Death, demise",,"Death, demise",,,mainDictionary_repaired.csv,65,original,,Jimpar,Jimpअr,low,unmapped_chars_sample='Jimpr' count=5,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'i', 'pos': 1}, {'matched': None, 'char': 'm', 'pos': 2}, {'matched': None, 'char': 'p', 'pos': 3}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 4, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'r', 'pos': 5}]"
2110,"Jiňdá, -u","Jinda, -u",,PRO.,pro.,,,In which,,In which,,"m.; f. -í, pl. -é",mainDictionary_repaired.csv,65,original,,"Jiňdá, -u","Jiňdá, -u",low,"unmapped_chars_sample='Jiňdá,' count=9","[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'i', 'pos': 1}, {'matched': None, 'char': 'ň', 'pos': 2}, {'matched': None, 'char': 'd', 'pos': 3}, {'matched': None, 'char': 'á', 'pos': 4}, {'matched': None, 'char': ',', 'pos': 5}]"
2111,Jindaṛí,Jindari,,N.F.,n.f.,,P. zindagī,"Life, existence, the course or period of life; Short life.",,"Life, existence, the course or period of life; Short life.",,,mainDictionary_repaired.csv,65,original,,Jindaṛí,Jindअṛí,low,unmapped_chars_sample='Jindṛí' count=6,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'i', 'pos': 1}, {'matched': None, 'char': 'n', 'pos': 2}, {'matched': None, 'char': 'd', 'pos': 3}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 4, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'ṛ', 'pos': 5}]"
2112,Jiné,Jine,,PRO.,pro.,,,By whom,,By whom,,,mainDictionary_repaired.csv,65,original,,Jineː,Jinए (lengthened),low,unmapped_chars_sample='Jin' count=3,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'i', 'pos': 1}, {'matched': None, 'char': 'n', 'pos': 2}, {'matched': 'é', 'ipa': 'eː', 'deva': 'ए (lengthened)', 'pos': 3, 'len': 1, 'note': 'Marked as distinct in orthography; likely length or stress'}]"
2113,Jinéň,Jinen,,PRO.,pro.,,,Who or by whom,,Who or by whom,,,mainDictionary_repaired.csv,65,original,,Jineːň,Jinए (lengthened)ň,low,unmapped_chars_sample='Jinň' count=4,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'i', 'pos': 1}, {'matched': None, 'char': 'n', 'pos': 2}, {'matched': 'é', 'ipa': 'eː', 'deva': 'ए (lengthened)', 'pos': 3, 'len': 1, 'note': 'Marked as distinct in orthography; likely length or stress'}, {'matched': None, 'char': 'ň', 'pos': 4}]"
2114,Jinó,Jino,,PRO.,pro.,,,To whom,,To whom,,,mainDictionary_repaired.csv,65,original,,Jinoː,Jinओ (lengthened),low,unmapped_chars_sample='Jin' count=3,"[{'matched': None, 'char': 'J', 'pos': 0}, {'matched': None, 'char': 'i', 'pos': 1}, {'matched': None, 'char': 'n', 'pos': 2}, {'matched': 'ó', 'ipa': 'oː', 'deva': 'ओ (lengthened)', 'pos': 3, 'len': 1, 'note': ""Possibly lengthened 'o' or different quality""}]"
